state,sex,date,lf,lf_employed,lf_unemployed,lf_outside,p_rate,u_rate,ep_ratio
Perak,both,2008,892.6,858.9,33.6,589,60.2,3.8,57.6
Perak,female,2008,320.3,305.2,15.1,418.1,43.4,4.7,41.7
Perak,male,2008,572.3,553.7,18.6,170.8,77,3.3,72.8
Perlis,both,2008,84,81.5,2.5,60.8,58,2.9,55.3
Perlis,female,2008,31.7,30.7,1,43.7,42,3,40.7
Perlis,male,2008,52.3,50.8,1.5,17.1,75.4,2.9,70.5
Penang,both,2008,688.4,674.9,13.4,343.2,66.7,2,63.3
Penang,female,2008,280.7,276.1,4.6,245.3,53.4,1.6,52
Penang,male,2008,407.7,398.8,8.9,98,80.6,2.2,74.5
Sabah,both,2008,1294.2,1230.5,63.8,711.3,64.5,4.9,58.9
Sabah,female,2008,433,408.3,24.7,536.8,44.6,5.7,41.1
Sabah,male,2008,861.2,822.2,39,174.5,83.2,4.5,75
Sarawak,both,2008,973,921.7,51.3,550.8,63.9,5.3,59.3
Sarawak,female,2008,339.4,321.6,17.7,405.8,45.5,5.2,43.4
Sarawak,male,2008,633.6,600,33.6,145,81.4,5.3,73.9
Selangor,both,2008,2159.8,2092,67.8,1160.9,65,3.1,56
Selangor,female,2008,823,794.9,28.1,804.3,50.6,3.4,44.4
Selangor,male,2008,1336.8,1297.1,39.7,356.6,78.9,3,66.7
Terengganu,both,2008,388.8,375.5,13.2,280.3,58.1,3.4,60
Terengganu,female,2008,132.2,126.3,5.9,191.9,40.8,4.5,41.4
Terengganu,male,2008,256.6,249.3,7.3,88.4,74.4,2.9,77.9
